AGE5P - Age in Five Year Groups,SEXP Sex,INDP - 1 Digit Level,OCCP - 1 Digit Level,GNGP Public/Private Sector,Persons
,,,,State/Territory Government,1092
,,,,Local Government,0
,,,,Private sector,1478
,,,Professionals,National Government,5489
,,,,State/Territory Government,6695
,,,,Local Government,3
,,,,Private sector,7705
,,,Technicians and Trades Workers,National Government,559
,,,,State/Territory Government,357
,,,,Local Government,0
,,,,Private sector,701
,,,Community and Personal Service Workers,National Government,139
,,,,State/Territory Government,404
,,,,Local Government,0
,,,,Private sector,1480
,,,Clerical and Administrative Workers,National Government,534
,,,,State/Territory Government,264
,,,,Local Government,0
,,,,Private sector,339
,,,Sales Workers,National Government,23
,,,,State/Territory Government,15
,,,,Local Government,0
,,,,Private sector,55
,,,Machinery Operators and Drivers,National Government,12
,,,,State/Territory Government,6
,,,,Local Government,0
,,,,Private sector,89
,,,Labourers,National Government,45
,,,,State/Territory Government,157
,,,,Local Government,0
,,,,Private sector,260
,,Health Care and Social Assistance,Managers,National Government,20
,,,,State/Territory Government,438
,,,,Local Government,0
,,,,Private sector,1974
,,,Professionals,National Government,49
,,,,State/Territory Government,6157
,,,,Local Government,3
,,,,Private sector,10596
,,,Technicians and Trades Workers,National Government,10
,,,,State/Territory Government,459
,,,,Local Government,0
,,,,Private sector,1373
,,,Community and Personal Service Workers,National Government,8
,,,,State/Territory Government,1695
,,,,Local Government,8
,,,,Private sector,5951
,,,Clerical and Administrative Workers,National Government,15
,,,,State/Territory Government,450
,,,,Local Government,0
,,,,Private sector,1064
,,,Sales Workers,National Government,0
,,,,State/Territory Government,9
,,,,Local Government,0
,,,,Private sector,157
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,103
,,,,Local Government,0
,,,,Private sector,326
,,,Labourers,National Government,0
,,,,State/Territory Government,294
,,,,Local Government,0
,,,,Private sector,1027
,,Arts and Recreation Services,Managers,National Government,8
,,,,State/Territory Government,73
,,,,Local Government,3
,,,,Private sector,1852
,,,Professionals,National Government,12
,,,,State/Territory Government,194
,,,,Local Government,0
,,,,Private sector,2253
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,89
,,,,Local Government,16
,,,,Private sector,1309
,,,Community and Personal Service Workers,National Government,6
,,,,State/Territory Government,45
,,,,Local Government,0
,,,,Private sector,1598
,,,Clerical and Administrative Workers,National Government,3
,,,,State/Territory Government,36
,,,,Local Government,3
,,,,Private sector,373
,,,Sales Workers,National Government,0
,,,,State/Territory Government,15
,,,,Local Government,0
,,,,Private sector,204
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,114
,,,Labourers,National Government,3
,,,,State/Territory Government,39
,,,,Local Government,5
,,,,Private sector,438
,,Other Services,Managers,National Government,8
,,,,State/Territory Government,20
,,,,Local Government,3
,,,,Private sector,2083
,,,Professionals,National Government,12
,,,,State/Territory Government,11
,,,,Local Government,7
,,,,Private sector,2366
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,15
,,,,Local Government,4
,,,,Private sector,11781
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1560
,,,Clerical and Administrative Workers,National Government,5
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,724
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,385
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,6
,,,,Local Government,0
,,,,Private sector,499
,,,Labourers,National Government,0
,,,,State/Territory Government,13
,,,,Local Government,0
,,,,Private sector,2195
,Female,"Agriculture, Forestry and Fishing",Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2356
,,,Professionals,National Government,8
,,,,State/Territory Government,12
,,,,Local Government,0
,,,,Private sector,357
,,,Technicians and Trades Workers,National Government,5
,,,,State/Territory Government,6
,,,,Local Government,0
,,,,Private sector,282
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,40
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,9
,,,,Local Government,0
,,,,Private sector,1146
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,129
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,65
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1747
,,Mining,Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,547
,,,Professionals,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1376
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,271
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,47
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1073
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,16
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,698
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,92
,,Manufacturing,Managers,National Government,8
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,3599
,,,Professionals,National Government,14
,,,,State/Territory Government,6
,,,,Local Government,0
,,,,Private sector,3517
,,,Technicians and Trades Workers,National Government,8
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,1574
,,,Community and Personal Service Workers,National Government,3
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,286
,,,Clerical and Administrative Workers,National Government,15
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,5308
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1653
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,964
,,,Labourers,National Government,3
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,3484
,,"Electricity, Gas, Water and Waste Services",Managers,National Government,0
,,,,State/Territory Government,269
,,,,Local Government,22
,,,,Private sector,340
,,,Professionals,National Government,0
,,,,State/Territory Government,650
,,,,Local Government,43
,,,,Private sector,661
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,74
,,,,Local Government,9
,,,,Private sector,70
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,6
,,,,Local Government,0
,,,,Private sector,7
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,611
,,,,Local Government,56
,,,,Private sector,898
,,,Sales Workers,National Government,0
,,,,State/Territory Government,20
,,,,Local Government,3
,,,,Private sector,97
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,29
,,,,Local Government,3
,,,,Private sector,57
,,,Labourers,National Government,0
,,,,State/Territory Government,9
,,,,Local Government,4
,,,,Private sector,52
,,Construction,Managers,National Government,0
,,,,State/Territory Government,12
,,,,Local Government,0
,,,,Private sector,1899
,,,Professionals,National Government,0
,,,,State/Territory Government,19
,,,,Local Government,13
,,,,Private sector,1604
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1086
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,69
,,,Clerical and Administrative Workers,National Government,3
,,,,State/Territory Government,15
,,,,Local Government,10
,,,,Private sector,8937
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,492
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,124
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,587
,,Wholesale Trade,Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2583
,,,Professionals,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2704
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,292
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,25
,,,Clerical and Administrative Workers,National Government,3
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,4255
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1718
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,518
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,497
,,Retail Trade,Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,8504
,,,Professionals,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,3678
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1927
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,452
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,5000
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,3
,,,,Private sector,23201
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,761
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2842
,,Accommodation and Food Services,Managers,National Government,5
,,,,State/Territory Government,6
,,,,Local Government,0
,,,,Private sector,6394
,,,Professionals,National Government,3
,,,,State/Territory Government,6
,,,,Local Government,0
,,,,Private sector,717
,,,Technicians and Trades Workers,National Government,3
,,,,State/Territory Government,7
,,,,Local Government,0
,,,,Private sector,3382
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,11
,,,,Local Government,0
,,,,Private sector,6809
,,,Clerical and Administrative Workers,National Government,4
,,,,State/Territory Government,10
,,,,Local Government,0
,,,,Private sector,2231
,,,Sales Workers,National Government,0
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,1624
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,93
,,,Labourers,National Government,7
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,4650
,,"Transport, Postal and Warehousing",Managers,National Government,162
,,,,State/Territory Government,112
,,,,Local Government,0
,,,,Private sector,1564
,,,Professionals,National Government,186
,,,,State/Territory Government,215
,,,,Local Government,0
,,,,Private sector,1289
,,,Technicians and Trades Workers,National Government,8
,,,,State/Territory Government,20
,,,,Local Government,0
,,,,Private sector,122
,,,Community and Personal Service Workers,National Government,15
,,,,State/Territory Government,23
,,,,Local Government,0
,,,,Private sector,901
,,,Clerical and Administrative Workers,National Government,537
,,,,State/Territory Government,214
,,,,Local Government,3
,,,,Private sector,4308
,,,Sales Workers,National Government,237
,,,,State/Territory Government,81
,,,,Local Government,0
,,,,Private sector,1039
,,,Machinery Operators and Drivers,National Government,35
,,,,State/Territory Government,67
,,,,Local Government,0
,,,,Private sector,1263
,,,Labourers,National Government,4
,,,,State/Territory Government,61
,,,,Local Government,0
,,,,Private sector,392
,,Information Media and Telecommunications,Managers,National Government,101
,,,,State/Territory Government,18
,,,,Local Government,0
,,,,Private sector,1595
,,,Professionals,National Government,429
,,,,State/Territory Government,46
,,,,Local Government,19
,,,,Private sector,3642
,,,Technicians and Trades Workers,National Government,42
,,,,State/Territory Government,17
,,,,Local Government,12
,,,,Private sector,373
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,28
,,,Clerical and Administrative Workers,National Government,110
,,,,State/Territory Government,72
,,,,Local Government,18
,,,,Private sector,1746
,,,Sales Workers,National Government,8
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,613
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,31
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,66
,,Financial and Insurance Services,Managers,National Government,18
,,,,State/Territory Government,83
,,,,Local Government,0
,,,,Private sector,4824
,,,Professionals,National Government,56
,,,,State/Territory Government,228
,,,,Local Government,0
,,,,Private sector,8660
,,,Technicians and Trades Workers,National Government,4
,,,,State/Territory Government,9
,,,,Local Government,0
,,,,Private sector,139
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,111
,,,Clerical and Administrative Workers,National Government,43
,,,,State/Territory Government,276
,,,,Local Government,0
,,,,Private sector,13251
,,,Sales Workers,National Government,0
,,,,State/Territory Government,39
,,,,Local Government,0
,,,,Private sector,1114
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,15
,,,,Local Government,0
,,,,Private sector,27
,,,Labourers,National Government,0
,,,,State/Territory Government,15
,,,,Local Government,0
,,,,Private sector,37
,,"Rental, Hiring and Real Estate Services",Managers,National Government,18
,,,,State/Territory Government,34
,,,,Local Government,0
,,,,Private sector,1316
,,,Professionals,National Government,9
,,,,State/Territory Government,44
,,,,Local Government,0
,,,,Private sector,1175
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,95
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,41
,,,,Local Government,0
,,,,Private sector,101
,,,Clerical and Administrative Workers,National Government,14
,,,,State/Territory Government,74
,,,,Local Government,4
,,,,Private sector,2933
,,,Sales Workers,National Government,7
,,,,State/Territory Government,21
,,,,Local Government,0
,,,,Private sector,3821
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,23
,,,Labourers,National Government,0
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,133
,,"Professional, Scientific and Technical Services",Managers,National Government,141
,,,,State/Territory Government,44
,,,,Local Government,9
,,,,Private sector,5407
,,,Professionals,National Government,437
,,,,State/Territory Government,326
,,,,Local Government,9
,,,,Private sector,23828
,,,Technicians and Trades Workers,National Government,40
,,,,State/Territory Government,23
,,,,Local Government,0
,,,,Private sector,2389
,,,Community and Personal Service Workers,National Government,8
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,178
,,,Clerical and Administrative Workers,National Government,409
,,,,State/Territory Government,138
,,,,Local Government,3
,,,,Private sector,11893
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,821
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,43
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,230
,,Administrative and Support Services,Managers,National Government,6
,,,,State/Territory Government,25
,,,,Local Government,0
,,,,Private sector,2413
,,,Professionals,National Government,18
,,,,State/Territory Government,36
,,,,Local Government,0
,,,,Private sector,3396
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,355
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,7
,,,,Local Government,8
,,,,Private sector,2652
,,,Clerical and Administrative Workers,National Government,29
,,,,State/Territory Government,68
,,,,Local Government,0
,,,,Private sector,4241
,,,Sales Workers,National Government,6
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,496
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,195
,,,Labourers,National Government,0
,,,,State/Territory Government,35
,,,,Local Government,3
,,,,Private sector,6497
,,Public Administration and Safety,Managers,National Government,2324
,,,,State/Territory Government,2180
,,,,Local Government,888
,,,,Private sector,367
,,,Professionals,National Government,3975
,,,,State/Territory Government,7127
,,,,Local Government,2667
,,,,Private sector,623
,,,Technicians and Trades Workers,National Government,228
,,,,State/Territory Government,266
,,,,Local Government,353
,,,,Private sector,58
,,,Community and Personal Service Workers,National Government,568
,,,,State/Territory Government,3917
,,,,Local Government,1112
,,,,Private sector,539
,,,Clerical and Administrative Workers,National Government,5995
,,,,State/Territory Government,5365
,,,,Local Government,2775
,,,,Private sector,1030
,,,Sales Workers,National Government,31
,,,,State/Territory Government,138
,,,,Local Government,46
,,,,Private sector,52
,,,Machinery Operators and Drivers,National Government,34
,,,,State/Territory Government,28
,,,,Local Government,32
,,,,Private sector,5
,,,Labourers,National Government,32
,,,,State/Territory Government,112
,,,,Local Government,187
,,,,Private sector,118
,,Education and Training,Managers,National Government,1208
,,,,State/Territory Government,1594
,,,,Local Government,0
,,,,Private sector,2112
,,,Professionals,National Government,6613
,,,,State/Territory Government,19233
,,,,Local Government,14
,,,,Private sector,20594
,,,Technicians and Trades Workers,National Government,323
,,,,State/Territory Government,216
,,,,Local Government,0
,,,,Private sector,369
,,,Community and Personal Service Workers,National Government,275
,,,,State/Territory Government,4560
,,,,Local Government,9
,,,,Private sector,7236
,,,Clerical and Administrative Workers,National Government,2254
,,,,State/Territory Government,2278
,,,,Local Government,0
,,,,Private sector,2886
,,,Sales Workers,National Government,27
,,,,State/Territory Government,31
,,,,Local Government,0
,,,,Private sector,111
,,,Machinery Operators and Drivers,National Government,6
,,,,State/Territory Government,8
,,,,Local Government,0
,,,,Private sector,36
,,,Labourers,National Government,27
,,,,State/Territory Government,351
,,,,Local Government,0
,,,,Private sector,393
,,Health Care and Social Assistance,Managers,National Government,36
,,,,State/Territory Government,772
,,,,Local Government,3
,,,,Private sector,4444
,,,Professionals,National Government,167
,,,,State/Territory Government,19558
,,,,Local Government,5
,,,,Private sector,28460
,,,Technicians and Trades Workers,National Government,10
,,,,State/Territory Government,688
,,,,Local Government,0
,,,,Private sector,2341
,,,Community and Personal Service Workers,National Government,41
,,,,State/Territory Government,2758
,,,,Local Government,29
,,,,Private sector,30259
,,,Clerical and Administrative Workers,National Government,54
,,,,State/Territory Government,2877
,,,,Local Government,4
,,,,Private sector,11373
,,,Sales Workers,National Government,5
,,,,State/Territory Government,48
,,,,Local Government,0
,,,,Private sector,480
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,98
,,,,Local Government,0
,,,,Private sector,197
,,,Labourers,National Government,0
,,,,State/Territory Government,608
,,,,Local Government,3
,,,,Private sector,2023
,,Arts and Recreation Services,Managers,National Government,11
,,,,State/Territory Government,127
,,,,Local Government,0
,,,,Private sector,1495
,,,Professionals,National Government,37
,,,,State/Territory Government,282
,,,,Local Government,0
,,,,Private sector,2079
,,,Technicians and Trades Workers,National Government,7
,,,,State/Territory Government,31
,,,,Local Government,0
,,,,Private sector,405
,,,Community and Personal Service Workers,National Government,11
,,,,State/Territory Government,35
,,,,Local Government,0
,,,,Private sector,1867
,,,Clerical and Administrative Workers,National Government,17
,,,,State/Territory Government,99
,,,,Local Government,5
,,,,Private sector,1117
,,,Sales Workers,National Government,0
,,,,State/Territory Government,35
,,,,Local Government,0
,,,,Private sector,316
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,35
,,,Labourers,National Government,0
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,365
,,Other Services,Managers,National Government,17
,,,,State/Territory Government,12
,,,,Local Government,7
,,,,Private sector,1834
,,,Professionals,National Government,18
,,,,State/Territory Government,23
,,,,Local Government,0
,,,,Private sector,1928
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,5313
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,17
,,,,Local Government,0
,,,,Private sector,5177
,,,Clerical and Administrative Workers,National Government,20
,,,,State/Territory Government,24
,,,,Local Government,9
,,,,Private sector,3485
,,,Sales Workers,National Government,0
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,361
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,90
,,,Labourers,National Government,0
,,,,State/Territory Government,14
,,,,Local Government,0
,,,,Private sector,751
40-44 years,Male,"Agriculture, Forestry and Fishing",Managers,National Government,3
,,,,State/Territory Government,9
,,,,Local Government,0
,,,,Private sector,8697
,,,Professionals,National Government,4
,,,,State/Territory Government,18
,,,,Local Government,0
,,,,Private sector,725
,,,Technicians and Trades Workers,National Government,3
,,,,State/Territory Government,6
,,,,Local Government,0
,,,,Private sector,1353
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,34
,,,Clerical and Administrative Workers,National Government,3
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,190
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,279
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,7
,,,,Local Government,0
,,,,Private sector,1355
,,,Labourers,National Government,0
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,3563
,,Mining,Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2617
,,,Professionals,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2855
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,6365
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,116
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,642
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,62
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,7491
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,758
,,Manufacturing,Managers,National Government,45
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,12572
,,,Professionals,National Government,46
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,5839
,,,Technicians and Trades Workers,National Government,157
,,,,State/Territory Government,17
,,,,Local Government,0
,,,,Private sector,17837
,,,Community and Personal Service Workers,National Government,3
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,285
,,,Clerical and Administrative Workers,National Government,13
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,2491
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2264
,,,Machinery Operators and Drivers,National Government,10
,,,,State/Territory Government,10
,,,,Local Government,0
,,,,Private sector,9767
,,,Labourers,National Government,8
,,,,State/Territory Government,14
,,,,Local Government,0
,,,,Private sector,9306
,,"Electricity, Gas, Water and Waste Services",Managers,National Government,0
,,,,State/Territory Government,654
,,,,Local Government,71
,,,,Private sector,1312
,,,Professionals,National Government,0
,,,,State/Territory Government,959
,,,,Local Government,106
,,,,Private sector,1004
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,1060
,,,,Local Government,238
,,,,Private sector,1645
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,8
,,,,Local Government,0
,,,,Private sector,22
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,410
,,,,Local Government,55
,,,,Private sector,509
,,,Sales Workers,National Government,0
,,,,State/Territory Government,28
,,,,Local Government,0
,,,,Private sector,192
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,292
,,,,Local Government,85
,,,,Private sector,1659
,,,Labourers,National Government,0
,,,,State/Territory Government,179
,,,,Local Government,45
,,,,Private sector,553
,,Construction,Managers,National Government,4
,,,,State/Territory Government,19
,,,,Local Government,21
,,,,Private sector,14613
,,,Professionals,National Government,6
,,,,State/Territory Government,20
,,,,Local Government,18
,,,,Private sector,3084
,,,Technicians and Trades Workers,National Government,3
,,,,State/Territory Government,14
,,,,Local Government,36
,,,,Private sector,44006
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,128
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,7
,,,,Local Government,9
,,,,Private sector,2069
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1085
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,26
,,,,Private sector,7927
,,,Labourers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,23
,,,,Private sector,14131
,,Wholesale Trade,Managers,National Government,6
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,7555
,,,Professionals,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,4292
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2556
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,49
,,,Clerical and Administrative Workers,National Government,4
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1878
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,3992
,,,Machinery Operators and Drivers,National Government,3
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,4075
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1139
,,Retail Trade,Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,11549
,,,Professionals,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2826
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,4251
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,187
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1704
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,11661
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,3065
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2901
,,Accommodation and Food Services,Managers,National Government,4
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,7292
,,,Professionals,National Government,6
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,458
,,,Technicians and Trades Workers,National Government,8
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,6710
,,,Community and Personal Service Workers,National Government,5
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2472
,,,Clerical and Administrative Workers,National Government,3
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,454
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,626
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,481
,,,Labourers,National Government,0
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,2308
,,"Transport, Postal and Warehousing",Managers,National Government,315
,,,,State/Territory Government,287
,,,,Local Government,0
,,,,Private sector,5018
,,,Professionals,National Government,376
,,,,State/Territory Government,322
,,,,Local Government,0
,,,,Private sector,2940
